Создан как новый массив данных;Образец 1522 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
2791,00;100,72
2790,00;100,72
2789,00;100,73
2788,00;100,73
2787,00;100,73
2786,00;100,74
2785,00;100,74
2784,00;100,74
2783,00;100,74
2782,00;100,74
2781,00;100,74
2780,00;100,74
2779,00;100,75
2778,00;100,75
2777,00;100,75
2776,00;100,75
2775,00;100,76
2774,00;100,76
2773,00;100,76
2772,00;100,75
2771,00;100,75
2770,00;100,75
2769,00;100,75
2768,00;100,74
2767,00;100,74
2766,00;100,74
2765,00;100,73
2764,00;100,72
2763,00;100,72
2762,00;100,71
2761,00;100,71
2760,00;100,70
2759,00;100,70
2758,00;100,69
2757,00;100,69
2756,00;100,69
2755,00;100,69
2754,00;100,69
2753,00;100,69
2752,00;100,69
2751,00;100,69
2750,00;100,69
2749,00;100,69
2748,00;100,69
2747,00;100,69
2746,00;100,69
2745,00;100,69
2744,00;100,69
2743,00;100,69
2742,00;100,69
2741,00;100,70
2740,00;100,70
2739,00;100,70
2738,00;100,70
2737,00;100,70
2736,00;100,70
2735,00;100,71
2734,00;100,71
2733,00;100,71
2732,00;100,71
2731,00;100,71
2730,00;100,71
2729,00;100,71
2728,00;100,71
2727,00;100,71
2726,00;100,71
2725,00;100,72
2724,00;100,72
2723,00;100,72
2722,00;100,72
2721,00;100,72
2720,00;100,72
2719,00;100,72
2718,00;100,71
2717,00;100,72
2716,00;100,72
2715,00;100,72
2714,00;100,72
2713,00;100,73
2712,00;100,73
2711,00;100,73
2710,00;100,73
2709,00;100,74
2708,00;100,74
2707,00;100,74
2706,00;100,74
2705,00;100,74
2704,00;100,74
2703,00;100,74
2702,00;100,74
2701,00;100,74
2700,00;100,74
2699,00;100,74
2698,00;100,74
2697,00;100,74
2696,00;100,74
2695,00;100,74
2694,00;100,74
2693,00;100,74
2692,00;100,74
2691,00;100,74
2690,00;100,74
2689,00;100,74
2688,00;100,74
2687,00;100,74
2686,00;100,74
2685,00;100,75
2684,00;100,75
2683,00;100,75
2682,00;100,75
2681,00;100,76
2680,00;100,76
2679,00;100,76
2678,00;100,76
2677,00;100,76
2676,00;100,77
2675,00;100,77
2674,00;100,77
2673,00;100,77
2672,00;100,77
2671,00;100,77
2670,00;100,77
2669,00;100,77
2668,00;100,76
2667,00;100,76
2666,00;100,76
2665,00;100,76
2664,00;100,76
2663,00;100,76
2662,00;100,75
2661,00;100,75
2660,00;100,75
2659,00;100,75
2658,00;100,75
2657,00;100,75
2656,00;100,75
2655,00;100,75
2654,00;100,75
2653,00;100,75
2652,00;100,75
2651,00;100,75
2650,00;100,76
2649,00;100,76
2648,00;100,76
2647,00;100,77
2646,00;100,77
2645,00;100,77
2644,00;100,77
2643,00;100,76
2642,00;100,76
2641,00;100,76
2640,00;100,76
2639,00;100,76
2638,00;100,76
2637,00;100,76
2636,00;100,76
2635,00;100,76
2634,00;100,75
2633,00;100,75
2632,00;100,75
2631,00;100,75
2630,00;100,75
2629,00;100,75
2628,00;100,75
2627,00;100,75
2626,00;100,75
2625,00;100,75
2624,00;100,76
2623,00;100,76
2622,00;100,76
2621,00;100,76
2620,00;100,76
2619,00;100,76
2618,00;100,76
2617,00;100,76
2616,00;100,76
2615,00;100,76
2614,00;100,77
2613,00;100,77
2612,00;100,77
2611,00;100,77
2610,00;100,77
2609,00;100,77
2608,00;100,77
2607,00;100,77
2606,00;100,77
2605,00;100,77
2604,00;100,77
2603,00;100,78
2602,00;100,78
2601,00;100,78
2600,00;100,77
2599,00;100,77
2598,00;100,77
2597,00;100,77
2596,00;100,77
2595,00;100,76
2594,00;100,76
2593,00;100,76
2592,00;100,75
2591,00;100,75
2590,00;100,75
2589,00;100,75
2588,00;100,74
2587,00;100,74
2586,00;100,74
2585,00;100,74
2584,00;100,73
2583,00;100,73
2582,00;100,73
2581,00;100,72
2580,00;100,72
2579,00;100,72
2578,00;100,72
2577,00;100,72
2576,00;100,71
2575,00;100,71
2574,00;100,71
2573,00;100,71
2572,00;100,70
2571,00;100,70
2570,00;100,70
2569,00;100,69
2568,00;100,69
2567,00;100,68
2566,00;100,67
2565,00;100,67
2564,00;100,66
2563,00;100,66
2562,00;100,65
2561,00;100,65
2560,00;100,64
2559,00;100,64
2558,00;100,64
2557,00;100,63
2556,00;100,63
2555,00;100,63
2554,00;100,63
2553,00;100,64
2552,00;100,64
2551,00;100,64
2550,00;100,64
2549,00;100,65
2548,00;100,65
2547,00;100,65
2546,00;100,66
2545,00;100,66
2544,00;100,66
2543,00;100,66
2542,00;100,66
2541,00;100,66
2540,00;100,66
2539,00;100,66
2538,00;100,66
2537,00;100,66
2536,00;100,66
2535,00;100,66
2534,00;100,66
2533,00;100,66
2532,00;100,66
2531,00;100,66
2530,00;100,66
2529,00;100,65
2528,00;100,65
2527,00;100,65
2526,00;100,65
2525,00;100,65
2524,00;100,65
2523,00;100,65
2522,00;100,65
2521,00;100,65
2520,00;100,65
2519,00;100,65
2518,00;100,65
2517,00;100,65
2516,00;100,65
2515,00;100,65
2514,00;100,66
2513,00;100,66
2512,00;100,66
2511,00;100,66
2510,00;100,66
2509,00;100,66
2508,00;100,67
2507,00;100,67
2506,00;100,67
2505,00;100,67
2504,00;100,67
2503,00;100,68
2502,00;100,68
2501,00;100,68
2500,00;100,68
2499,00;100,68
2498,00;100,68
2497,00;100,68
2496,00;100,68
2495,00;100,68
2494,00;100,68
2493,00;100,68
2492,00;100,68
2491,00;100,69
2490,00;100,69
2489,00;100,69
2488,00;100,69
2487,00;100,69
2486,00;100,69
2485,00;100,70
2484,00;100,70
2483,00;100,70
2482,00;100,70
2481,00;100,70
2480,00;100,69
2479,00;100,69
2478,00;100,69
